id,recipient,amount_transacted,avg_upi_txn_amount,negative,positive,UPI_score
1,ajio,2063.16,1086.66,0.2,0.8,519.31
1,amazon,2359.02,1086.66,0.2,0.8,519.31
1,samsung,26.83,1086.66,0.2,0.8,519.31
1,ajio,664.63,1086.66,0.2,0.8,519.31
1,amazon,975.21,1086.66,0.2,0.8,519.31
1,adidas,830.84,1086.66,0.2,0.8,519.31
1,ajio,744.5,1086.66,0.2,0.8,519.31
1,trends,2221.97,1086.66,0.2,0.8,519.31
1,samsung,396.19,1086.66,0.2,0.8,519.31
1,adidas,584.26,1086.66,0.2,0.8,519.31
2,amazon,157.44,398.78,0.1,0.9,458.77
2,ajio,607.73,398.78,0.1,0.9,458.77
2,adidas,1000.37,398.78,0.1,0.9,458.77
2,trends,163.99,398.78,0.1,0.9,458.77
2,puma,247.91,398.78,0.1,0.9,458.77
2,samsung,253.05,398.78,0.1,0.9,458.77
2,puma,42.44,398.78,0.1,0.9,458.77
2,samsung,443.23,398.78,0.1,0.9,458.77
2,ajio,481.38,398.78,0.1,0.9,458.77
2,samsung,590.25,398.78,0.1,0.9,458.77
3,puma,205.18,1584.26,0.2,0.8,589.63
3,adidas,251.36,1584.26,0.2,0.8,589.63
3,ajio,394.24,1584.26,0.2,0.8,589.63
3,amazon,3127.84,1584.26,0.2,0.8,589.63
3,puma,2569.4,1584.26,0.2,0.8,589.63
3,trends,3886.6,1584.26,0.2,0.8,589.63
3,puma,1104.58,1584.26,0.2,0.8,589.63
3,amazon,1617.63,1584.26,0.2,0.8,589.63
3,ajio,119.89,1584.26,0.2,0.8,589.63
3,adidas,2565.88,1584.26,0.2,0.8,589.63
4,ajio,1641.44,1343.19,0.0,1.0,518.89
4,trends,2458.89,1343.19,0.0,1.0,518.89
4,trends,28.78,1343.19,0.0,1.0,518.89
4,ajio,1157.28,1343.19,0.0,1.0,518.89
4,adidas,656.48,1343.19,0.0,1.0,518.89
4,ajio,2033.32,1343.19,0.0,1.0,518.89
4,ajio,2251.39,1343.19,0.0,1.0,518.89
4,ajio,926.71,1343.19,0.0,1.0,518.89
