id,avg_upi_txn_amount,utility_bill_timeliness_pct,repayment_success_rate,peer_trust_avg_score,num_verified_endorsers
1,1086.66,44.58,70.08,3.5,13
2,398.78,81.12,55.75,3.51,3
3,1584.26,79.36,82.33,4.69,6
4,1343.19,85.75,65.24,1.89,15
5,547.42,97.72,53.6,3.35,14
6,1126.61,70.85,53.12,4.88,7
7,1428.88,93.08,40.85,2.51,17
8,1833.83,52.2,30.49,1.84,3
9,699.74,87.59,77.54,1.11,0
10,734.37,65.59,30.86,2.0,14
11,237.86,67.09,33.59,3.82,13
12,1655.68,50.15,96.57,4.36,19
13,1896.18,83.06,57.21,2.93,13
14,1559.85,73.37,89.97,2.22,3
15,1337.78,89.2,76.57,1.01,4
16,1478.03,99.37,41.01,3.51,13
17,1728.75,65.86,60.93,3.04,18
18,742.87,75.39,49.15,1.37,17
19,1312.57,49.72,54.38,4.9,15
20,639.4,90.68,87.81,3.47,6
21,870.22,98.12,39.59,2.81,6
22,232.88,69.81,64.14,4.15,16
23,1269.89,99.95,54.77,3.61,18
24,157.38,82.08,81.47,4.16,20
25,1961.58,83.29,60.68,4.63,13
26,1338.34,45.09,57.09,4.92,13
27,1417.15,86.87,84.82,4.51,10
28,83.4,93.45,49.77,4.15,3
29,1624.38,69.04,43.57,1.7,8
30,955.18,88.15,94.22,4.76,15
31,599.23,99.93,68.82,3.7,0
32,1201.98,83.6,79.92,2.13,14
33,869.72,69.29,84.22,2.26,7
34,1764.71,59.51,38.29,2.57,12
35,1696.62,88.06,94.52,4.66,14
36,1645.69,95.78,88.04,3.76,1
37,420.68,52.36,41.62,2.74,9
38,1337.19,78.16,67.75,3.34,17
39,1018.81,88.23,87.57,1.65,14
40,1872.67,97.99,77.32,3.57,18
41,365.69,78.11,48.32,2.58,15
42,368.98,84.04,91.06,1.19,1
43,1023.63,73.32,77.87,2.23,6
44,651.41,48.06,37.96,2.27,20
45,1614.64,86.53,95.43,3.59,6
46,1576.46,72.95,58.93,4.03,13
47,230.06,67.94,50.28,3.87,2
48,1406.67,82.37,75.38,2.09,7
49,478.5,97.53,77.73,3.41,2
50,1790.34,66.37,53.1,2.92,14
51,1827.59,56.62,45.73,3.6,10
52,1875.35,47.17,70.19,4.58,17
53,321.12,72.29,72.43,1.11,11
54,1331.84,82.93,38.42,2.08,7
55,1020.99,49.71,66.9,3.19,6
56,1913.32,65.73,96.41,1.2,20
57,217.5,91.38,34.37,2.27,18
58,508.95,88.63,34.25,3.81,7
59,912.3,41.32,55.76,3.35,2
60,209.91,92.16,40.58,2.81,16
61,1369.33,79.82,88.37,1.66,18
62,972.51,85.17,65.43,3.47,13
63,1397.4,47.11,96.85,4.35,17
64,1934.92,81.85,47.59,2.37,13
65,384.46,84.68,53.43,1.28,4
66,1545.68,52.18,90.47,3.93,9
67,493.27,41.16,78.2,1.66,3
68,377.21,87.12,55.13,1.34,9
69,221.63,50.71,39.96,4.19,11
70,255.43,57.05,66.5,3.51,4
71,1496.96,94.7,37.94,3.28,8
72,955.65,41.8,39.95,3.53,5
73,1420.43,42.3,44.9,3.65,18
74,1929.48,69.0,92.55,4.88,4
75,1177.18,51.84,60.45,1.42,12
76,879.57,96.81,37.92,4.25,13
77,1397.53,86.36,97.95,1.88,14
78,1832.59,48.52,45.64,4.26,14
79,1182.46,50.57,50.06,3.11,9
80,1081.85,89.04,69.21,3.57,7
81,797.13,42.49,96.05,2.85,17
82,262.22,63.48,59.87,1.59,7
83,895.93,67.31,76.14,1.58,18
84,1133.92,56.77,96.59,2.63,17
85,1860.19,42.74,64.0,1.02,16
86,1611.61,99.88,46.94,2.56,2
87,1631.37,49.09,67.97,1.63,1
88,372.57,77.25,64.74,2.67,20
89,705.96,56.55,36.97,4.38,2
90,1245.26,92.07,80.76,4.33,1
91,1939.9,58.58,58.92,1.23,2
92,1532.58,68.1,31.45,3.1,1
93,1657.85,66.79,41.56,4.01,14
94,629.88,50.93,61.21,1.94,8
95,954.96,65.79,75.16,1.04,10
96,476.92,77.63,80.26,1.47,13
97,1572.67,74.01,44.74,3.68,18
98,1309.78,47.05,75.97,2.11,20
99,1701.36,80.86,72.81,2.03,8
100,1334.86,73.36,88.55,1.34,12
101,153.88,50.97,39.8,3.72,19
102,748.94,62.73,83.83,3.85,9
103,1464.21,73.27,46.71,4.45,19
104,914.01,61.97,88.17,2.21,5
105,1090.86,99.22,92.94,3.54,18
106,1852.11,73.26,96.89,1.21,11
107,481.52,53.97,88.74,3.19,19
108,1295.26,65.92,31.54,3.02,12
109,1677.17,92.57,52.64,2.83,16
110,683.2,50.85,64.7,4.49,5
111,1170.75,44.28,59.57,1.93,1
112,706.87,94.05,57.94,2.07,15
113,1662.97,85.91,33.27,4.61,9
114,1379.46,66.97,95.97,3.89,7
115,1970.16,55.63,39.23,1.94,19
116,1672.97,47.68,51.85,4.61,10
117,1057.25,96.44,41.03,1.93,17
118,143.71,81.89,43.76,2.4,10
119,1053.75,88.72,59.03,1.55,15
120,1878.9,50.37,32.75,2.79,13
121,760.87,99.47,31.09,3.05,6
122,339.08,84.1,86.81,2.64,14
123,1414.41,85.08,82.41,1.8,14
124,1795.9,57.63,33.41,1.19,8
125,718.19,55.63,94.42,3.73,4
126,187.72,64.15,67.41,2.7,15
127,1724.23,97.92,41.6,1.21,5
128,502.43,75.21,57.86,3.61,9
129,373.37,75.57,87.66,3.0,14
130,193.19,83.46,60.3,2.34,3
131,1579.39,88.74,89.51,1.86,19
132,728.16,79.7,33.38,4.06,11
133,1005.53,61.36,81.3,2.69,10
134,1250.68,46.99,84.72,4.24,16
135,778.49,54.78,85.19,4.57,20
136,222.98,73.17,89.31,4.89,2
137,1149.41,47.48,63.06,3.6,17
138,904.62,62.44,38.17,1.01,1
139,1795.18,62.14,70.08,2.72,18
140,1762.01,46.53,81.55,4.19,1
141,1253.42,90.08,60.6,4.64,2
142,1136.41,55.32,37.91,2.08,4
143,1602.55,74.66,76.43,3.48,9
144,1222.83,68.43,40.35,1.14,4
145,1963.11,50.13,30.67,4.31,11
146,1056.96,54.74,43.21,4.76,5
147,1016.71,49.45,93.02,2.66,19
148,1526.74,55.81,45.6,1.35,18
149,1677.31,91.13,60.19,3.17,0
150,292.08,41.74,50.03,2.02,16
151,1759.94,56.72,98.11,2.71,11
152,565.0,40.02,72.92,3.48,14
153,959.46,76.69,60.82,2.12,16
154,574.96,50.67,64.81,1.52,15
155,373.24,60.0,88.91,1.99,15
156,397.81,56.6,87.14,2.45,17
157,747.79,81.47,81.73,1.37,17
158,1112.27,57.66,37.38,2.88,4
159,503.23,70.18,39.41,3.16,3
160,1051.06,77.81,76.8,1.02,0
161,1183.65,93.54,41.03,1.89,2
162,1074.98,84.01,55.11,1.34,16
163,148.0,52.64,47.51,2.53,0
164,405.62,59.23,96.52,3.23,8
165,646.43,97.9,63.38,3.33,11
166,1490.96,94.68,67.87,2.38,5
167,1762.54,68.7,41.33,2.24,15
168,599.29,40.46,83.64,4.83,9
169,1091.97,56.61,94.34,3.79,13
170,1868.51,90.9,69.32,3.94,1
171,491.3,41.63,41.22,4.37,11
172,286.58,49.5,53.69,1.56,19
173,177.67,41.98,62.87,4.53,11
174,1552.64,52.1,86.02,3.17,9
175,197.37,42.38,94.31,4.96,8
176,107.9,65.85,36.33,4.82,2
177,1063.68,60.49,81.12,1.6,2
178,368.66,57.29,87.67,4.43,3
179,439.13,83.06,59.31,1.24,17
180,657.47,57.53,78.72,4.86,14
181,1590.22,97.23,65.06,4.32,15
182,1452.76,73.14,59.95,2.43,4
183,1704.67,87.02,78.32,4.87,13
184,1165.35,83.13,54.62,3.08,20
185,1533.54,41.5,68.96,2.26,12
186,757.37,93.69,55.82,1.66,3
187,899.73,63.73,99.61,1.42,1
188,714.41,70.5,97.71,3.01,5
189,305.3,98.36,81.54,2.74,12
190,985.25,86.98,68.51,2.28,20
191,1121.71,78.03,56.94,2.59,14
192,879.65,65.43,69.72,1.82,2
193,1359.61,83.48,70.35,2.84,12
194,1079.5,47.88,39.05,1.86,10
195,526.56,75.91,70.1,2.55,19
196,1176.08,99.21,73.13,1.69,11
197,413.36,90.53,41.0,1.89,7
198,441.06,62.79,49.59,4.75,5
199,1958.99,97.56,70.64,1.5,7
200,1433.83,77.54,89.81,2.68,14
201,1328.47,40.68,79.67,4.56,4
202,1976.04,52.25,75.74,4.84,5
203,1206.71,52.0,44.15,2.75,19
204,850.07,61.98,99.38,4.61,9
205,365.62,74.89,30.37,4.61,16
206,1097.89,65.94,85.29,1.45,19
207,1486.87,69.48,82.29,1.8,0
208,1174.88,55.62,78.38,1.61,9
209,1667.99,54.9,97.91,2.66,15
210,271.62,67.65,57.01,1.94,8
211,270.06,89.11,32.92,4.83,18
212,1934.36,45.04,83.81,2.92,4
213,926.42,54.06,73.91,3.41,8
214,1535.54,62.05,79.71,4.02,16
215,1999.71,70.52,47.26,1.79,2
216,973.98,42.01,89.8,3.73,17
217,1088.45,52.55,65.87,1.17,19
218,1255.41,60.18,81.42,4.91,20
219,522.94,54.69,83.21,4.5,17
220,771.5,67.78,70.62,1.22,20
221,1222.24,65.69,80.51,1.63,3
222,1602.7,77.25,87.34,4.44,12
223,1664.84,65.16,46.22,1.67,13
224,133.51,85.5,95.91,2.02,1
225,213.24,47.2,37.88,1.04,18
226,1093.37,71.11,31.88,3.88,20
227,1313.98,46.38,43.41,1.01,15
228,229.79,44.74,88.93,2.66,14
229,1338.98,84.22,30.52,2.04,7
230,424.7,84.7,83.37,4.08,8
231,458.6,83.44,59.81,3.8,8
232,625.91,90.8,91.34,2.52,15
233,1198.45,82.91,97.93,4.97,4
234,1759.31,50.14,38.11,2.15,6
235,1371.72,93.55,43.18,1.62,16
236,742.73,53.29,72.53,4.42,18
237,652.6,71.96,61.96,2.74,16
238,510.27,41.2,47.69,2.08,13
239,1389.44,64.28,75.36,2.49,0
240,1596.62,90.94,94.38,1.49,2
241,1766.94,58.77,36.94,3.75,14
242,1730.11,61.99,64.35,3.21,13
243,492.07,79.66,68.09,2.07,15
244,437.75,40.55,87.46,3.9,12
245,1222.22,65.64,47.89,2.47,3
246,1065.26,80.17,85.32,4.83,14
247,1133.82,71.6,49.09,3.02,7
248,463.7,75.76,58.0,1.68,5
